iterations,theta_1,theta_2,theta_3,phi_1,phi_2,phi_3,p_x,p_y,p_z
0,-0.354098,-0.354098,-0.354098,0,0,0,0,0,150
1,-0.355794,-0.358547,-0.356677,0.006109,0.006981,-0.000021,-0.000171,-0.001279,151
2,-0.357511,-0.363038,-0.359242,0.012217,0.013963,-0.000085,-0.000686,-0.005117,152
3,-0.359249,-0.367572,-0.361794,0.018326,0.020944,-0.000192,-0.001544,-0.011513,153
4,-0.361008,-0.372146,-0.364333,0.024435,0.027925,-0.000341,-0.002748,-0.020465,154
5,-0.362788,-0.37676,-0.366859,0.030543,0.034907,-0.000533,-0.0043,-0.031971,155
6,-0.364589,-0.381413,-0.369374,0.036652,0.041888,-0.000768,-0.006202,-0.04603,156
7,-0.36641,-0.386103,-0.371876,0.042761,0.048869,-0.001045,-0.008459,-0.062637,157
8,-0.368252,-0.390831,-0.374368,0.048869,0.055851,-0.001365,-0.011073,-0.081791,158
9,-0.370115,-0.395593,-0.376849,0.054978,0.062832,-0.001728,-0.01405,-0.103486,159
10,-0.371998,-0.400391,-0.379319,0.061087,0.069813,-0.002134,-0.017395,-0.127719,160
11,-0.373901,-0.405222,-0.381779,0.067195,0.076794,-0.002582,-0.021114,-0.154484,161
12,-0.375825,-0.410085,-0.38423,0.073304,0.083776,-0.003074,-0.025214,-0.183776,162
13,-0.377768,-0.414981,-0.386671,0.079412,0.090757,-0.003608,-0.029701,-0.215588,163
14,-0.379732,-0.419907,-0.389104,0.085521,0.097738,-0.004185,-0.034583,-0.249914,164
15,-0.381716,-0.424864,-0.391528,0.09163,0.10472,-0.004805,-0.039869,-0.286747,165
16,-0.383719,-0.42985,-0.393944,0.097738,0.111701,-0.005469,-0.045568,-0.32608,166
17,-0.385743,-0.434864,-0.396353,0.103847,0.118682,-0.006175,-0.05169,-0.367902,167
18,-0.387786,-0.439906,-0.398754,0.109956,0.125664,-0.006925,-0.058243,-0.412207,168
19,-0.38985,-0.444974,-0.401148,0.116064,0.132645,-0.007718,-0.065241,-0.458985,169
20,-0.391933,-0.450069,-0.403535,0.122173,0.139626,-0.008554,-0.072692,-0.508225,170
21,-0.394035,-0.455189,-0.405916,0.128282,0.146608,-0.009433,-0.080611,-0.559917,171
22,-0.396158,-0.460333,-0.408291,0.13439,0.153589,-0.010356,-0.089008,-0.614051,172
23,-0.3983,-0.465502,-0.410661,0.140499,0.16057,-0.011323,-0.097899,-0.670614,173
24,-0.400462,-0.470693,-0.413025,0.146608,0.167552,-0.012333,-0.107295,-0.729595,174
25,-0.402644,-0.475907,-0.415384,0.152716,0.174533,-0.013387,-0.117212,-0.79098,175
26,-0.404846,-0.481143,-0.417739,0.158825,0.181514,-0.014484,-0.127664,-0.854757,176
27,-0.407067,-0.4864,-0.42009,0.164934,0.188496,-0.015626,-0.138667,-0.920912,177
28,-0.409308,-0.491677,-0.422436,0.171042,0.195477,-0.016811,-0.150236,-0.98943,178
29,-0.411569,-0.496974,-0.424779,0.177151,0.202458,-0.018041,-0.16239,-1.060297,179
30,-0.41385,-0.50229,-0.427119,0.18326,0.20944,-0.019315,-0.175144,-1.133496,180
31,-0.41615,-0.507625,-0.429456,0.189368,0.216421,-0.020633,-0.188516,-1.209011,181
32,-0.418471,-0.512978,-0.431791,0.195477,0.223402,-0.021995,-0.202525,-1.286827,182
33,-0.420811,-0.518347,-0.434123,0.201586,0.230383,-0.023402,-0.217189,-1.366925,183
34,-0.423172,-0.523734,-0.436453,0.207694,0.237365,-0.024854,-0.232528,-1.449288,184
35,-0.425553,-0.529137,-0.438782,0.213803,0.244346,-0.026351,-0.248562,-1.533896,185
36,-0.427953,-0.534556,-0.441109,0.219911,0.251327,-0.027892,-0.265311,-1.620732,186
37,-0.430374,-0.539989,-0.443436,0.22602,0.258309,-0.029478,-0.282795,-1.709775,187
38,-0.432815,-0.545437,-0.445762,0.232129,0.26529,-0.03111,-0.301037,-1.801004,188
39,-0.435277,-0.550899,-0.448087,0.238237,0.272271,-0.032787,-0.320058,-1.8944,189
40,-0.437759,-0.556374,-0.450413,0.244346,0.279253,-0.034509,-0.339881,-1.989939,190
41,-0.440261,-0.561862,-0.452739,0.250455,0.286234,-0.036277,-0.360528,-2.087601,191
42,-0.442784,-0.567363,-0.455065,0.256563,0.293215,-0.038091,-0.382023,-2.187362,192
43,-0.445327,-0.572875,-0.457393,0.262672,0.300197,-0.03995,-0.404389,-2.289199,193
44,-0.447892,-0.578398,-0.459721,0.268781,0.307178,-0.041856,-0.427652,-2.393087,194
45,-0.450477,-0.583933,-0.462052,0.274889,0.314159,-0.043807,-0.451835,-2.499001,195
46,-0.453082,-0.589477,-0.464384,0.280998,0.321141,-0.045806,-0.476964,-2.606917,196
47,-0.455709,-0.595031,-0.466719,0.287107,0.328122,-0.04785,-0.503065,-2.716809,197
48,-0.458357,-0.600595,-0.469056,0.293215,0.335103,-0.049942,-0.530164,-2.828648,198
49,-0.461026,-0.606168,-0.471396,0.299324,0.342085,-0.05208,-0.558286,-2.942408,199
50,-0.463717,-0.611748,-0.473739,0.305433,0.349066,-0.054265,-0.58746,-3.058062,200
51,-0.466429,-0.617337,-0.476086,0.311541,0.356047,-0.056498,-0.617712,-3.175579,201
52,-0.469162,-0.622933,-0.478436,0.31765,0.363028,-0.058778,-0.64907,-3.29493,202
53,-0.471917,-0.628536,-0.480791,0.323759,0.37001,-0.061106,-0.681562,-3.416086,203
54,-0.474693,-0.634145,-0.48315,0.329867,0.376991,-0.063481,-0.715216,-3.539015,204
55,-0.477492,-0.639761,-0.485514,0.335976,0.383972,-0.065905,-0.750062,-3.663686,205
56,-0.480312,-0.645382,-0.487883,0.342085,0.390954,-0.068376,-0.786128,-3.790065,206
57,-0.483155,-0.651008,-0.490258,0.348193,0.397935,-0.070896,-0.823444,-3.918122,207
58,-0.486019,-0.656638,-0.492638,0.354302,0.404916,-0.073465,-0.862039,-4.04782,208
59,-0.488906,-0.662273,-0.495025,0.36041,0.411898,-0.076083,-0.901944,-4.179127,209
60,-0.491815,-0.667912,-0.497418,0.366519,0.418879,-0.078749,-0.943189,-4.312006,210
61,-0.494747,-0.673553,-0.499817,0.372628,0.42586,-0.081465,-0.985804,-4.446422,211
62,-0.497702,-0.679198,-0.502224,0.378736,0.432842,-0.084231,-1.029821,-4.582337,212
63,-0.500679,-0.684846,-0.504639,0.384845,0.439823,-0.087046,-1.07527,-4.719715,213
64,-0.503679,-0.690495,-0.507061,0.390954,0.446804,-0.089911,-1.122183,-4.858517,214
65,-0.506702,-0.696146,-0.509491,0.397062,0.453786,-0.092826,-1.170591,-4.998703,215
66,-0.509749,-0.701798,-0.51193,0.403171,0.460767,-0.095792,-1.220527,-5.140234,216
67,-0.512818,-0.70745,-0.514378,0.40928,0.467748,-0.098808,-1.272021,-5.28307,217
68,-0.515911,-0.713103,-0.516835,0.415388,0.47473,-0.101875,-1.325107,-5.427168,218
69,-0.519028,-0.718756,-0.519302,0.421497,0.481711,-0.104994,-1.379816,-5.572487,219
70,-0.522168,-0.724409,-0.521778,0.427606,0.488692,-0.108163,-1.436182,-5.718983,220
71,-0.525332,-0.73006,-0.524265,0.433714,0.495674,-0.111385,-1.494235,-5.866612,221
72,-0.52852,-0.73571,-0.526762,0.439823,0.502655,-0.114658,-1.55401,-6.01533,222
73,-0.531732,-0.741359,-0.52927,0.445932,0.509636,-0.117983,-1.615538,-6.16509,223
74,-0.534968,-0.747005,-0.53179,0.45204,0.516617,-0.121361,-1.678853,-6.315847,224
75,-0.538228,-0.752649,-0.534322,0.458149,0.523599,-0.124792,-1.743986,-6.467554,225
76,-0.541512,-0.758289,-0.536865,0.464258,0.53058,-0.128275,-1.810972,-6.620161,226
77,-0.544821,-0.763926,-0.539421,0.470366,0.537561,-0.131812,-1.879843,-6.773621,227
78,-0.548155,-0.76956,-0.54199,0.476475,0.544543,-0.135402,-1.950631,-6.927882,228
79,-0.551513,-0.775189,-0.544572,0.482584,0.551524,-0.139046,-2.023369,-7.082895,229
80,-0.554896,-0.780814,-0.547168,0.488692,0.558505,-0.142744,-2.09809,-7.238608,230
81,-0.558305,-0.786433,-0.549778,0.494801,0.565487,-0.146497,-2.174826,-7.394968,231
82,-0.561738,-0.792047,-0.552403,0.500909,0.572468,-0.150304,-2.25361,-7.551921,232
83,-0.565196,-0.797655,-0.555042,0.507018,0.579449,-0.154166,-2.334474,-7.709414,233
84,-0.56868,-0.803258,-0.557696,0.513127,0.586431,-0.158083,-2.41745,-7.867391,234
85,-0.572188,-0.808853,-0.560366,0.519235,0.593412,-0.162056,-2.50257,-8.025796,235
86,-0.575723,-0.814441,-0.563053,0.525344,0.600393,-0.166085,-2.589866,-8.184571,236
87,-0.579283,-0.820022,-0.565755,0.531453,0.607375,-0.170169,-2.679369,-8.34366,237
88,-0.582868,-0.825596,-0.568475,0.537561,0.614356,-0.17431,-2.77111,-8.503002,238
89,-0.58648,-0.83116,-0.571212,0.54367,0.621337,-0.178508,-2.865121,-8.662538,239
90,-0.590117,-0.836717,-0.573967,0.549779,0.628319,-0.182763,-2.961431,-8.822208,240
91,-0.59378,-0.842264,-0.57674,0.555887,0.6353,-0.187075,-3.060071,-8.981949,241
92,-0.597468,-0.847802,-0.579531,0.561996,0.642281,-0.191445,-3.161071,-9.141698,242
93,-0.601183,-0.85333,-0.582342,0.568105,0.649262,-0.195873,-3.264459,-9.301393,243
94,-0.604924,-0.858848,-0.585173,0.574213,0.656244,-0.20036,-3.370266,-9.460968,244
95,-0.608692,-0.864356,-0.588023,0.580322,0.663225,-0.204904,-3.478519,-9.620358,245
96,-0.612485,-0.869852,-0.590894,0.586431,0.670206,-0.209508,-3.589246,-9.779496,246
97,-0.616305,-0.875338,-0.593785,0.592539,0.677188,-0.214171,-3.702474,-9.938315,247
98,-0.620151,-0.880811,-0.596699,0.598648,0.684169,-0.218894,-3.818231,-10.096747,248
99,-0.624023,-0.886272,-0.599634,0.604757,0.69115,-0.223676,-3.936542,-10.254721,249
100,-0.627922,-0.891721,-0.602591,0.610865,0.698132,-0.228519,-4.057433,-10.412168,250
